task,condition,rho,seed,step,transition_index,free_step_accuracy,first_error_rate,teacher_full_step_accuracy,teacher_state_accuracy,teacher_state_token_accuracy,teacher_state_nll
boolean_circuit_8,rho=0.8000,0.8,2005,8000,1,0.9845,0.0155,0.9921875,0.9921875,0.998046875,0.10652793182816822
boolean_circuit_8,rho=0.8000,0.8,2005,8000,2,0.952,0.033,0.96484375,0.96484375,0.9912109375,0.08690012167789973
boolean_circuit_8,rho=0.8000,0.8,2005,8000,3,0.9265,0.027,0.97265625,0.97265625,0.9931640625,0.06876503175317339
boolean_circuit_8,rho=0.8000,0.8,2005,8000,4,0.894,0.033,0.9765625,0.9765625,0.994140625,0.05808985765088437
boolean_circuit_8,rho=0.8000,0.8,2005,8000,5,0.871,0.0255,0.984375,0.984375,0.99609375,0.05221413949266207
boolean_circuit_8,rho=0.8000,0.8,2005,8000,6,0.8425,0.03,0.94921875,0.953125,0.98828125,0.05676698918728107
boolean_circuit_8,rho=0.8000,0.8,2005,8000,7,0.8215,0.0205,0.9609375,0.9609375,0.990234375,0.048023675759282014
boolean_circuit_8,rho=0.8000,0.8,2005,8000,8,0.778,0.045,0.95703125,0.95703125,0.9892578125,0.06196075874140661
boolean_circuit_8,rho=0.9000,0.9,2005,1000,1,0.1585,0.8415,0.20703125,0.234375,0.7080078125,0.5685323335637804
boolean_circuit_8,rho=0.9000,0.9,2005,1000,2,0.0355,0.1465,0.046875,0.234375,0.7119140625,0.5693197430518921
boolean_circuit_8,rho=0.9000,0.9,2005,1000,3,0.012,0.0115,0.015625,0.17578125,0.662109375,0.6042088969552424
boolean_circuit_8,rho=0.9000,0.9,2005,1000,4,0.0135,0.0005,0.02734375,0.1875,0.673828125,0.5934779669041745
boolean_circuit_8,rho=0.9000,0.9,2005,1000,5,0.011,0.0,0.015625,0.16796875,0.685546875,0.5944515355222393
boolean_circuit_8,rho=0.9000,0.9,2005,1000,6,0.0085,0.0,0.01953125,0.18359375,0.66796875,0.6119337422715034
boolean_circuit_8,rho=0.9000,0.9,2005,1000,7,0.008,0.0,0.01953125,0.1640625,0.6728515625,0.6017500512534752
boolean_circuit_8,rho=0.9000,0.9,2005,1000,8,0.0065,0.0,0.00390625,0.140625,0.626953125,0.6527900746150408
boolean_circuit_8,rho=0.9000,0.9,2005,4000,1,0.7945,0.2055,0.78515625,0.78515625,0.9404296875,0.15675164021376986
boolean_circuit_8,rho=0.9000,0.9,2005,4000,2,0.629,0.1785,0.7890625,0.7890625,0.9375,0.15850007055269089
boolean_circuit_8,rho=0.9000,0.9,2005,4000,3,0.509,0.1325,0.765625,0.76953125,0.935546875,0.15637733282528643
boolean_circuit_8,rho=0.9000,0.9,2005,4000,4,0.411,0.117,0.78125,0.78515625,0.939453125,0.15175478347737226
boolean_circuit_8,rho=0.9000,0.9,2005,4000,5,0.3335,0.091,0.77734375,0.77734375,0.9404296875,0.15814574414162053
boolean_circuit_8,rho=0.9000,0.9,2005,4000,6,0.279,0.062,0.69140625,0.6953125,0.912109375,0.18462709822779289
boolean_circuit_8,rho=0.9000,0.9,2005,4000,7,0.2425,0.042,0.78125,0.78125,0.94140625,0.16694926700074575
boolean_circuit_8,rho=0.9000,0.9,2005,4000,8,0.199,0.0435,0.671875,0.6796875,0.90234375,0.230638230025761
boolean_circuit_8,rho=0.9000,0.9,2005,8000,1,0.9885,0.0115,0.984375,0.984375,0.99609375,0.053883340282482095
boolean_circuit_8,rho=0.9000,0.9,2005,8000,2,0.974,0.015,0.98828125,0.98828125,0.9970703125,0.04549602975839662
boolean_circuit_8,rho=0.9000,0.9,2005,8000,3,0.96,0.0155,0.9765625,0.9765625,0.994140625,0.045927551020213286
boolean_circuit_8,rho=0.9000,0.9,2005,8000,4,0.943,0.0175,0.98828125,0.9921875,0.998046875,0.03810999828226613
boolean_circuit_8,rho=0.9000,0.9,2005,8000,5,0.92,0.0235,0.9765625,0.9765625,0.994140625,0.044977715320726475
boolean_circuit_8,rho=0.9000,0.9,2005,8000,6,0.9015,0.0185,0.984375,0.984375,0.99609375,0.036733114104890774
boolean_circuit_8,rho=0.9000,0.9,2005,8000,7,0.8785,0.025,0.97265625,0.97265625,0.9931640625,0.041360674364739225
boolean_circuit_8,rho=0.9000,0.9,2005,8000,8,0.8195,0.0615,0.91796875,0.92578125,0.9814453125,0.07940966598494015
boolean_circuit_8,rho=1.0000,1.0,2005,1000,1,0.2075,0.7925,0.25,0.26953125,0.7353515625,0.5184602937515592
boolean_circuit_8,rho=1.0000,1.0,2005,1000,2,0.0745,0.173,0.109375,0.27734375,0.7431640625,0.5297924332262482
boolean_circuit_8,rho=1.0000,1.0,2005,1000,3,0.0295,0.0325,0.05078125,0.25,0.7060546875,0.5651006127882283
boolean_circuit_8,rho=1.0000,1.0,2005,1000,4,0.0315,0.002,0.0546875,0.23828125,0.705078125,0.5533867752310471
boolean_circuit_8,rho=1.0000,1.0,2005,1000,5,0.016,0.0,0.02734375,0.25,0.7021484375,0.5442560487135779
boolean_circuit_8,rho=1.0000,1.0,2005,1000,6,0.013,0.0,0.0390625,0.25,0.70703125,0.5505633764259983
boolean_circuit_8,rho=1.0000,1.0,2005,1000,7,0.009,0.0,0.0234375,0.26953125,0.72265625,0.5575434546626639
boolean_circuit_8,rho=1.0000,1.0,2005,1000,8,0.009,0.0,0.01953125,0.203125,0.6826171875,0.6330210716405418
boolean_circuit_8,rho=1.0000,1.0,2005,4000,1,0.848,0.152,0.85546875,0.859375,0.962890625,0.07927885227102038
boolean_circuit_8,rho=1.0000,1.0,2005,4000,2,0.7415,0.1155,0.86328125,0.86328125,0.9638671875,0.09327023719909278
boolean_circuit_8,rho=1.0000,1.0,2005,4000,3,0.6515,0.0955,0.87890625,0.87890625,0.9677734375,0.07061469433068623
boolean_circuit_8,rho=1.0000,1.0,2005,4000,4,0.565,0.092,0.87109375,0.87109375,0.966796875,0.0739594442057836
boolean_circuit_8,rho=1.0000,1.0,2005,4000,5,0.4945,0.0785,0.859375,0.859375,0.9638671875,0.07472766963121913
boolean_circuit_8,rho=1.0000,1.0,2005,4000,6,0.451,0.0525,0.828125,0.8359375,0.955078125,0.09760893253462655
boolean_circuit_8,rho=1.0000,1.0,2005,4000,7,0.395,0.0615,0.86328125,0.86328125,0.9599609375,0.08684640459753723
boolean_circuit_8,rho=1.0000,1.0,2005,4000,8,0.316,0.0815,0.734375,0.74609375,0.919921875,0.1739519844471431
boolean_circuit_8,rho=1.0000,1.0,2005,8000,1,0.9965,0.0035,0.9921875,0.9921875,0.998046875,0.005203648550775153
boolean_circuit_8,rho=1.0000,1.0,2005,8000,2,0.9955,0.0015,1.0,1.0,1.0,0.0015377925384215119
boolean_circuit_8,rho=1.0000,1.0,2005,8000,3,0.9935,0.002,0.99609375,0.99609375,0.9990234375,0.0019021243672582566
boolean_circuit_8,rho=1.0000,1.0,2005,8000,4,0.9885,0.005,0.99609375,0.99609375,0.9990234375,0.0019504438354597253
boolean_circuit_8,rho=1.0000,1.0,2005,8000,5,0.987,0.002,0.99609375,0.99609375,0.9990234375,0.0020412680592655774
boolean_circuit_8,rho=1.0000,1.0,2005,8000,6,0.9825,0.0045,1.0,1.0,1.0,0.0005672793082554806
boolean_circuit_8,rho=1.0000,1.0,2005,8000,7,0.976,0.0065,0.9921875,0.9921875,0.998046875,0.012477123903729403
boolean_circuit_8,rho=1.0000,1.0,2005,8000,8,0.9365,0.0395,0.9453125,0.9453125,0.984375,0.041226086386166816
