task,condition,rho,seed,step,train_loss,answer_accuracy,exact_trace_accuracy,free_step_accuracy,colon_rate,mean_first_error,teacher_full_step_accuracy,teacher_state_accuracy,teacher_state_token_accuracy,teacher_state_nll,predicted_exact_trace_probability,gradient_alignment,gradient_cosine,clean_corrupt_cosine,clean_state_gradient_norm,training_gradient_norm,between_component_variance,projected_gradient_mean,projected_gradient_variance,clean_state_loss,diagnostic_training_loss
state_machine_16,rho=0.5000,0.5,2001,1000,0.45732054114341736,0.0575,0.0,0.0049375,1.0,1.0605,0.0615234375,0.0615234375,0.3751220703125,1.3913124275859445,3.071599840469093e-20,0.36902397871017456,0.9427358508110046,0.14170151948928833,0.2608773410320282,0.10211852192878723,0.007900375872850418,0.09627079870551825,0.0012630619208775532,1.3900752365589142,0.45717498660087585
state_machine_16,rho=0.5000,0.5,2001,2000,0.4569128155708313,0.049,0.0,0.0058125,1.0,1.0715,0.059326171875,0.059326171875,0.373779296875,1.3875816508661956,1.5846941677248593e-20,,,,,,,,,,
state_machine_16,rho=0.5000,0.5,2001,4000,0.45184239745140076,0.069,0.0,0.00834375,1.0,1.078,0.06640625,0.06640625,0.3790283203125,1.385434182768222,8.315600386296824e-20,0.2351301610469818,0.6843950748443604,-0.02595548890531063,0.11823265999555588,0.04062005877494812,0.001734328456223011,0.027800160460174084,0.0008395719376813222,1.384995013475418,0.4539473056793213
state_machine_16,rho=0.5000,0.5,2001,6000,0.45092496275901794,0.059,0.0,0.00978125,1.0,1.095,0.08251953125,0.08251953125,0.38916015625,1.3748523532412946,3.127397316231651e-18,,,,,,,,,,
state_machine_16,rho=0.5000,0.5,2001,8000,0.3881728947162628,0.058,0.0,0.09053125,1.0,2.0665,0.495361328125,0.495361328125,0.71875,0.8047670973755885,1.2366729058220163e-05,0.05698389932513237,0.4283484220504761,-0.654775083065033,0.9082275629043579,0.12082704901695251,0.06997450441122055,0.051756057888269424,0.057193126119596135,0.80404232442379,0.39277366921305656
state_machine_16,rho=0.8000,0.8,2001,1000,0.44856515526771545,0.0535,0.0,0.00496875,1.0,1.0585,0.064697265625,0.064697265625,0.3787841796875,1.389189891226124,5.3905505922102696e-20,0.28440120816230774,0.9250584244728088,-0.5169125199317932,0.15463870763778687,0.04754282161593437,0.007133590988814831,0.04397987802512944,0.0004754635137885878,1.3903680741786957,0.4478220045566559
state_machine_16,rho=0.8000,0.8,2001,2000,0.4471714496612549,0.049,0.0,0.006375,1.0,1.069,0.064453125,0.064453125,0.381103515625,1.3861914557346608,6.735027904638038e-20,,,,,,,,,,
state_machine_16,rho=0.8000,0.8,2001,4000,0.4104712903499603,0.0715,0.0,0.017875,1.0,1.193,0.155517578125,0.155517578125,0.4552001953125,1.2185057491042244,9.634802544305175e-14,0.20312480628490448,0.7571250796318054,-0.34327608346939087,0.33431750535964966,0.08969467878341675,0.022618986666202545,0.0679100900888443,0.006445895035712562,1.227973073720932,0.4136901944875717
state_machine_16,rho=0.8000,0.8,2001,6000,0.23046889901161194,0.0705,0.0035,0.13253125,1.0,2.6915,0.62841796875,0.62841796875,0.814208984375,0.3986782954525552,0.0005802819213049548,,,,,,,,,,
state_machine_16,rho=0.8000,0.8,2001,8000,0.20777642726898193,0.067,0.004,0.133125,1.0,2.723,0.639404296875,0.639404296875,0.8197021484375,0.38007906379971246,0.0007645218381706685,0.07407752424478531,0.4182363450527191,-0.7609643340110779,0.36314499378204346,0.06432097405195236,0.0479172058403492,0.026901365816593192,0.03346896100667232,0.38897766172885895,0.2279040992259979
state_machine_16,rho=0.8400,0.84,2001,1000,0.44701284170150757,0.049,0.0,0.00553125,1.0,1.0635,0.064208984375,0.064208984375,0.3782958984375,1.3892033791926224,3.475808275529273e-20,0.2871212065219879,0.9264615774154663,-0.5416991710662842,0.13433007895946503,0.04163091257214546,0.0062891580164432526,0.03856944284401834,0.00037105614334909955,1.3903141021728516,0.44616462022066117
state_machine_16,rho=0.8400,0.84,2001,2000,0.44702476263046265,0.049,0.0,0.006125,1.0,1.075,0.065673828125,0.065673828125,0.3792724609375,1.3858722924778704,6.225349176260033e-20,,,,,,,,,,
state_machine_16,rho=0.8400,0.84,2001,4000,0.35865697264671326,0.0575,0.0,0.03825,1.0,1.3685,0.252685546875,0.252685546875,0.5372314453125,0.9951025593254599,2.653055035447771e-10,0.20947469770908356,0.8091591596603394,-0.40319010615348816,0.49791017174720764,0.12890183925628662,0.04919150471687317,0.104302099943161,0.017437435247355998,0.9922278374433517,0.3568493333458901
state_machine_16,rho=0.8400,0.84,2001,6000,0.20966054499149323,0.063,0.0035,0.130625,1.0,2.702,0.629150390625,0.629150390625,0.8145751953125,0.37690055523853516,0.0005912515070462597,,,,,,,,,,
state_machine_16,rho=0.8400,0.84,2001,8000,0.18419097363948822,0.063,0.005,0.1585625,1.0,3.105,0.698486328125,0.698486328125,0.8492431640625,0.312731981590332,0.0031902923610083074,0.18760813772678375,0.7262157201766968,-0.41245752573013306,0.45931947231292725,0.11866229772567749,0.05620639771223068,0.08617443114519119,0.018163022105774827,0.3189810812473297,0.19670753791928292
state_machine_16,rho=0.8500,0.85,2001,1000,0.4463162124156952,0.051,0.0,0.00609375,1.0,1.071,0.064453125,0.064453125,0.3785400390625,1.388903876679251,4.147305106670368e-20,0.29060715436935425,0.9785031676292419,-0.1994796246290207,0.23790687322616577,0.07065698504447937,0.006453793961554766,0.06913807892706245,0.0009373624879311659,1.3908249139785767,0.44587857462465763
state_machine_16,rho=0.8500,0.85,2001,2000,0.4468049705028534,0.049,0.0,0.00696875,1.0,1.081,0.068359375,0.068359375,0.3826904296875,1.3857635055028368,1.0946990822022473e-19,,,,,,,,,,
state_machine_16,rho=0.8500,0.85,2001,4000,0.2550179958343506,0.052,0.0,0.0821875,1.0,1.9475,0.5068359375,0.5068359375,0.72314453125,0.5644662110389618,1.86522106575986e-05,0.1448352336883545,0.6890814304351807,-0.6473864912986755,0.4832059144973755,0.10156561434268951,0.07534350454807281,0.06998695889487862,0.04142508385495954,0.5603679865598679,0.24911921005696058
state_machine_16,rho=0.8500,0.85,2001,6000,0.20632942020893097,0.0605,0.0035,0.13278125,1.0,2.7145,0.629638671875,0.629638671875,0.8148193359375,0.37407967273975373,0.0005978035161566016,,,,,,,,,,
state_machine_16,rho=0.8500,0.85,2001,8000,0.18161515891551971,0.067,0.0025,0.15525,1.0,3.031,0.6845703125,0.684814453125,0.8424072265625,0.32744856627687113,0.0023001597275285127,0.14508207142353058,0.5583705306053162,-0.5292991399765015,0.3165563941001892,0.08225324004888535,0.047143589705228806,0.045927781984210006,0.017726766588261087,0.32911819219589233,0.19228951549157502
state_machine_16,rho=0.8600,0.86,2001,1000,0.44617927074432373,0.0495,0.0,0.0055625,1.0,1.0635,0.06396484375,0.06396484375,0.378662109375,1.388952057051938,5.2083647018376045e-20,0.28574079275131226,0.9689951539039612,-0.35281944274902344,0.18771684169769287,0.05535513162612915,0.006314683239907026,0.05363884673453867,0.0007666449111536984,1.3908305764198303,0.4454215739667416
state_machine_16,rho=0.8600,0.86,2001,2000,0.44593706727027893,0.049,0.0,0.0070625,1.0,1.079,0.064697265625,0.064697265625,0.380615234375,1.3860214966116473,5.591031317929465e-20,,,,,,,,,,
state_machine_16,rho=0.8600,0.86,2001,4000,0.35637572407722473,0.0625,0.0,0.0369375,1.0,1.3745,0.260009765625,0.260009765625,0.5406494140625,0.9814293719900888,4.086889596931978e-10,0.21910065412521362,0.8313484787940979,-0.375993013381958,0.4990914762020111,0.13153809309005737,0.045352753251791,0.10935396067798137,0.015244125308381656,0.9845361262559891,0.35009421974420546
state_machine_16,rho=0.8600,0.86,2001,6000,0.20446842908859253,0.0705,0.0035,0.1331875,1.0,2.709,0.630615234375,0.630615234375,0.8153076171875,0.36723572425034945,0.000612679338183635,,,,,,,,,,
state_machine_16,rho=0.8600,0.86,2001,8000,0.184157133102417,0.0615,0.0035,0.13234375,1.0,2.762,0.65380859375,0.65380859375,0.826904296875,0.3486563229780586,0.0011017361132462519,0.13018153607845306,0.5302355885505676,-0.5847776532173157,0.27767214179039,0.06817515194416046,0.03977901488542557,0.03614888299256562,0.017006997193992884,0.36149634420871735,0.19424249932169915
state_machine_16,rho=0.8800,0.88,2001,1000,0.4444010555744171,0.049,0.0,0.005875,1.0,1.069,0.0625,0.0625,0.3773193359375,1.3892140173120424,2.832767049619009e-20,0.2840443551540375,0.9779548645019531,-0.3959742486476898,0.18230494856834412,0.0529504269361496,0.006792253348976374,0.05178313096985221,0.0010256308147703992,1.3907338380813599,0.4444704559445381
state_machine_16,rho=0.8800,0.88,2001,2000,0.4448874890804291,0.049,0.0,0.00646875,1.0,1.075,0.063720703125,0.063720703125,0.37939453125,1.3860430756176356,4.176659497752809e-20,,,,,,,,,,
state_machine_16,rho=0.8800,0.88,2001,4000,0.32061895728111267,0.063,0.0,0.05240625,1.0,1.535,0.3330078125,0.3330078125,0.593994140625,0.8601059031425393,2.1835952576287815e-08,0.20621123909950256,0.8129202723503113,-0.4831354022026062,0.5185855627059937,0.13155119121074677,0.0738237276673317,0.10694063186645508,0.02674496007249875,0.8525696992874146,0.31269972324371337
state_machine_16,rho=0.8800,0.88,2001,6000,0.19195792078971863,0.066,0.0035,0.13403125,1.0,2.7125,0.631103515625,0.631103515625,0.8155517578125,0.35774529229456675,0.0006199199843085073,,,,,,,,,,
state_machine_16,rho=0.8800,0.88,2001,8000,0.17064496874809265,0.07,0.0035,0.1363125,1.0,2.787,0.636962890625,0.636962890625,0.8184814453125,0.3446098212789366,0.0007229736639703577,0.2034730315208435,0.7313074469566345,-0.3801475465297699,0.3107913136482239,0.08647470921278,0.03733864054083824,0.06323960378766061,0.008889492306924488,0.35763711482286453,0.1840252633392811
state_machine_16,rho=0.9000,0.9,2001,1000,0.4434410631656647,0.049,0.0,0.0056875,1.0,1.0615,0.06396484375,0.06396484375,0.3782958984375,1.3892352070542984,3.5081104944360414e-20,0.2876648008823395,0.9815438389778137,-0.4204607307910919,0.1614411175251007,0.047314610332250595,0.006434103474020958,0.04644136332208291,0.0009908982328451811,1.3905380070209503,0.4434562660753727
state_machine_16,rho=0.9000,0.9,2001,2000,0.4441337287425995,0.049,0.0,0.005875,1.0,1.075,0.064453125,0.064453125,0.380859375,1.3851814713852946,5.586442718994296e-20,,,,,,,,,,
state_machine_16,rho=0.9000,0.9,2001,4000,0.2755390703678131,0.07,0.0,0.07353125,1.0,1.8365,0.435302734375,0.435546875,0.6724853515625,0.6927843807534373,1.6172635001722021e-06,0.2819584310054779,0.9398489594459534,-0.0707244798541069,0.8650909066200256,0.2595384120941162,0.08092157542705536,0.24392692018300297,0.009886275553493236,0.681889221072197,0.26269523426890373
